@relation author-weka.filters.unsupervised.attribute.Remove-R21-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R8-weka.filters.unsupervised.attribute.Remove-R12-weka.filters.unsupervised.attribute.Remove-R18-weka.filters.unsupervised.attribute.Remove-R15-weka.filters.unsupervised.attribute.Remove-R1-3

@attribute Date {1,0}
@attribute DicoWords {1,0}
@attribute IsMail {1,0}
@attribute relatifNbWordsInBlock numeric
@attribute relatifNumLine numeric
@attribute maxRelatifNumLine {1,0}
@attribute minRelatifNumLine {1,0}
@attribute end {1,0}
@attribute NbNouns numeric
@attribute precededByAuthorTag {1,0}
@attribute createdBy {1,0}
@attribute Location {1,0}
@attribute org {1,0}
@attribute class {0,1}

@data
1,0,0,0.896259,0.647619,0,0,0,0,0,0,1,1,0
0,0,0,1,0.711429,0,0,0,2,0,0,1,1,0
0,0,0,1,0.412088,0,0,0,4,0,0,1,1,0
0,0,0,0.047325,0.01,0,0,0,1,0,0,0,1,0
0,0,0,0.008529,0.021739,0,0,0,0,0,0,0,0,0
0,0,0,1,0.698745,0,0,0,5,0,0,1,1,0
0,0,0,1,0.521212,0,0,0,3,0,0,1,1,0
1,1,0,0.191919,0.94697,0,0,1,1,0,1,0,0,0
1,0,0,0.999344,0.439469,0,0,0,6,0,0,1,1,0
0,0,0,0.736318,0.085714,0,0,0,4,0,0,1,1,0
0,0,0,0.016456,0.901429,0,0,1,1,0,0,1,0,0
1,0,0,0.508121,0.256997,0,0,0,6,0,0,0,1,0
0,0,0,1,0.539171,0,0,0,2,0,0,1,1,0
1,0,0,0.310403,0.718033,0,0,0,0,0,0,0,0,0
0,0,0,1,0.903509,0,0,1,3,0,0,1,0,0
0,0,0,0.236162,0.264463,0,0,0,2,0,0,0,1,0
0,0,1,0.997881,0.882507,0,0,0,2,0,0,1,1,0
1,0,0,0.75,0.46,0,0,0,9,0,0,1,1,0
0,0,0,0.144828,0.575472,0,0,0,1,0,1,0,0,0
0,0,0,0.584746,0.039164,0,0,0,3,0,0,0,1,0
0,0,1,0.062241,0.913793,0,0,1,2,0,0,0,1,0
0,0,0,0.999537,0.281106,0,0,0,0,0,0,0,1,0
0,0,0,0.408163,0.086957,0,0,0,0,0,0,0,1,0
1,0,0,0.053872,0.904908,0,0,1,1,0,0,0,1,0
